pub_id,doi,isbn,doc_type,pub_year,title,source,volume,issue,pages,openalex_id,editor,location,edition,publisher
1,10.18438/B8CW4N,NA,Article,2017,A Comparison of Traditional Book Reviews and Amazon. com Book Reviews of Fiction Using a Content Analysis Approach,Evidence Based Library and Information Practice,12,1,85-96,NA,NA,NA,NA,NA
2,10.21083/partnership.v13i1.4063,NA,Article,2018,Collaboratively creating a programmatic information literacy strategy: Challenges and opportunities,Partnership: The Canadian Journal of Library and Information Practice and …,13,1,NA,NA,NA,NA,NA,NA
3,NA,NA,Presentation,2010,Embedded Information Literacy: An Arts and Humanities Model,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,Presentation,2018,Evidence-based IL program proposals: Engaging in curriculum mapping to re-envision instructional practice,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10.1002/bult.2006.1720320410,NA,Article,2006,From game studies to bibliographic gaming: Libraries tap into the video game culture,Bulletin of the American Society for Information Science and Technology,32,4,24-26,NA,NA,NA,NA,NA
6,NA,NA,Presentation,2017,Our difference is our strength: Collaboration and creativity in co-creating system wide information literacy learning outcomes,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,Presentation,2018,Stories of Active Teaching: Embedding Civic Engagement in our Practice,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,10.1002/asi.20154,NA,Article,2005,Comparing faculty information seeking in teaching and research: Implications for the design of digital libraries,Journal of the American Society for Information Science and Technology,56,NA,636-657,NA,NA,NA,NA,NA
9,10.5860/crln.66.1.7367,NA,Article,2005,Considering RFID,College & research libraries news,66,1,13-42,NA,NA,NA,NA,NA
10,10.1145/996350.996361,NA,Article,2004,Developing a digital learning environment: an evaluation of design and implementation processes,Proceedings of the 2004 Joint ACM/IEEE Conference on Digital Libraries,NA,NA,37-46,NA,NA,NA,NA,NA
11,NA,NA,Article,2002,Digital libraries as instructional aids for knowledge construction,Educational Technology,42,6,38-42,NA,NA,NA,NA,NA
12,NA,NA,Article,2002,Evaluating a digital library for undergraduate education: A case study of the Alexandria Digital Earth Prototype (ADEPT),Fourth DELOS Workshop. Evaluation of Digital Libraries: Testbeds …,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,Article,2004,Getting ready for class: The information seeking behavior of geography professors in support of teaching,"Annual Meeting of the American Educational Research Association, San Diego, CA",NA,NA,NA,NA,NA,NA,NA,NA
14,10.1145/996350.996390,NA,Article,2004,How geography professors select materials for classroom lectures: implications for the design of digital libraries,Proceedings of the 2004 Joint CM/IEEE Conference on Digital Libraries,NA,NA,179-185,NA,NA,NA,NA,NA
15,NA,NA,Article,2003,Information behavior in support of instruction: Designing the ADEPT digital library to support dual work-roles of academic geographers,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,Article,2004,Making sense of RFID,Library Journal,129,NA,4-14,NA,NA,NA,NA,NA
17,NA,NA,Article,2004,NET CONNECT--LINKONG LIBRARIAN & THE INTERNET--The RFID Riddle PROS & CONS-MAKING SENSE OF RFID-Laura Smart tackles the pros and cons of RFID and offers tools for librarians in …,Library Journal,26,NA,4-16,NA,NA,NA,NA,NA
18,NA,NA,Article,2004,NET CONNECT--LINKONG LIBRARIAN & THE INTERNET--The RFID Riddle PROS & CONS-THE MARKETPLACE-Laura Smart compares the vendors offering RFID solutions,Library Journal,26,NA,17-22,NA,NA,NA,NA,NA
19,NA,NA,Article,2002,"OAIS, METS, MPEG-21, and archival values",The Moving Image: The Journal of the Association of Moving Image Archivists …,2,1,107-129,NA,NA,NA,NA,NA
20,NA,NA,Article,2002,"Structured models of scientific concepts for organizing, accessing, and using learning materials",International Conference on Digital Libraries: Proceedings of the 2nd ACM/IEEE-CS joint conference on Digital libraries,14,18,407,NA,NA,NA,NA,NA
21,NA,NA,Article,2002,The organization of knowledge spaces for a virtual learning environment supported by a digital library,"Digital Libraries: Advanced Methods and Technologies, Digital Collections …",1,NA,53-64,NA,NA,NA,NA,NA
22,10.1002/meet.1450400149,NA,Article,2003,Use scenarios in the development of the Alexandria Digital Earth Prototype (ADEPT),Proceedings of the American Society for Information Science and Technology …,40,1,407-415,NA,NA,NA,NA,NA
23,NA,NA,Article,2004,A reference model for providing statistical consulting services in an academic library setting,IASSIST Quarterly,28,2,35-38,NA,NA,NA,NA,NA
24,NA,NA,Presentation,2012,Bringing them in: what 5 years of data can tell us about growing a data service.,IASSIST Conference,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,Presentation,2010,Data in Development.,IASSIST,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,Article,2010,Data in Development: An Overview of Microdata on Developing Countries,IASSIST Quarterly,34,1,25-30,NA,NA,NA,NA,NA
27,10.21083/partnership.v16i1.6462,NA,Article,2021,Data in the Time of COVID-19: How Data Library Professionals Helped Combat the Pandemic,Partnership: Canadian journal of library and information practice and research/Partnership: revue canadienne de la pratique et de la recherche en bibliothéconomie et sciences de l’information,16,1,44567,NA,NA,NA,NA,NA
28,NA,NA,Article,2016,Databrarianship: The academic data librarian in theory and practice,"Association of College and Research Libraries, a division of the American …",NA,NA,NA,NA,NA,NA,NA,NA
29,10.5281/zenodo.4042023,NA,Article,2020,De-identification Guidance,Portage,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,Presentation,2005,Demystifying data reference.,IASSIST Conference,NA,NA,NA,NA,NA,NA,NA,NA
31,10.5281/zenodo.4453504,NA,Article,2020,Dépôts recommandés pour les données de recherche sur la COVID-19,Portage,NA,NA,NA,NA,NA,NA,NA,NA
32,10.5281/zenodo.4452825,NA,Article,2020,Directives sur la dépersonnalisation des données,Portage,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,Article,2017,Documentation as Data Rescue: Restoring a Collection of Canadian Health Survey Files,Against The Grain,29,6,33,NA,NA,NA,NA,NA
34,10.1080/17430437.2013.838353,NA,Article,2014,Finding strength (s): insights on Aboriginal physical cultural practices in Canada,Sport in Society,17,8,1046-1060,NA,NA,NA,NA,NA
35,NA,9781315724324,Article,2017,Finding strength (s): insights on Aboriginal physical cultural practices in Canada,"Sport, Race and Ethnicity: The Scope of Belonging?",NA,NA,66-80,NA,NA,NA,NA,NA
36,NA,NA,Article,2017,Groupe d’experts sur la découverte des données–Groupe de travail sur le développement des collections: rapport de la phase 1,Portage,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,Article,2020,Guide sur le partage et le dépôt rapide des données sur la COVID-19 pour les chercheurs canadiens,Portage,NA,NA,NA,NA,NA,NA,NA,NA
38,10.5281/zenodo.4042030,NA,Article,2020,Guide to COVID-19 Rapid Response Data Sharing and Deposit for Canadian Researchers,Portage,NA,NA,NA,NA,NA,NA,NA,NA
39,10.1007/s10826-013-9890-3,NA,Article,2015,Intergenerational Transmission of Antisocial Behavior and Age at Primiparity,Journal of Child and Family Studies,24,3,798-808,NA,NA,NA,NA,NA
40,10.23974/ijol.2017.vol2.1.38,NA,Introduction,2017,Introducing this Special Issue on Data Librarianship,International Journal of Librarianship,2,1,44563,NA,NA,NA,NA,NA
41,10.5860/crl.78.3.16597,978-083898799-5,Introduction,2016,Introduction to Databrarianship: The Academic Data Librarian in Theory and Practice,University of Windsor,NA,NA,NA,NA,NA,NA,NA,NA
42,10.23974/ijol.2017.vol2.1.35,NA,Commentary,2017,"Lives in Data: Prominent Data Librarians, Archivists and Educators Share Their Thoughts",International Journal of Librarianship,2,1,66-72,NA,NA,NA,NA,NA
43,10.29173/iq979,NA,Article,2020,"Mathematics, risk, and messy survey data",IASSIST Quarterly,44,4,NA,NA,NA,NA,NA,NA
44,10.14288/1.0351978,NA,Article,2017,Portage Data Discovery Expert Group-Collections Development Working Group: Phase One Report,University of British Columbia,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,Article,2020,Recommended Repositories for COVID-19 Research Data,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,10.23974/ijol.2017.vol2.1.32,NA,Article,2017,The Development of Academic Data Services in Canada and China: Profiles of Data Services at Fudan University and the University of Windsor.,International Journal of Librarianship,2,1,73-78,NA,NA,NA,NA,NA
47,NA,NA,Article,2009,Torturing Nurses With Data: Building a Successful Quantitative Research Module,IASSIST Quarterly,33,3,44721,NA,NA,NA,NA,NA
48,10.1016/j.apmr.2018.12.029,NA,Review,2019,Clinical Determinants of Fitness to Drive in Persons With Multiple Sclerosis: Systematic Review,Archives of Physical Medicine and Rehabilitation,100,8,1534-1555,NA,NA,NA,NA,NA
49,10.1016/j.aap.2019.07.010,NA,Review,2020,Insufficient sleep and fitness to drive in shift workers: A systematic literature review,Accident Analysis and Prevention,134,NA,NA,NA,NA,NA,NA,NA
50,10.1136/injuryprev-2018-042972,NA,Review,2019,Insufficient sleep and fitness to drive in shift workers: a systematic literature review protocol,Injury Prevention,25,6,589-594,NA,NA,NA,NA,NA
51,10.5014/ajot.2019.73S1-PO7023,NA,Meeting Abstract,2019,Systematic Literature Review of Insufficient Sleep and Fitness To Drive in Shift Workers,American Journal of Occupational Therapy,73,4,NA,NA,NA,NA,NA,NA
52,10.5703/1288284316444,NA,Proceedings Paper,2016,"The Librarian's Survival Guide to the ""Big Deal"": Tools for Unbundling",Charleston Conference Proceedings,NA,NA,202-208,NA,NA,NA,NA,NA
53,10.1016/j.acalib.2012.09.016,NA,Article,2013,Undergraduate Program Review Processes: A Case Study in Opportunity for Academic Libraries,Journal of Academic Librarianship,39,2,169-174,NA,NA,NA,NA,NA
54,10.21083/partnership.v7i2.1997,NA,Article,2012,Canadian Academic Library Support for International Faculty: Library Experience and Information Needs of Chinese Visiting Scholars at the University of Western Ontario,Partnership: The Canadian Journal of Library and Information Practice and …,7,2,NA,NA,NA,NA,NA,NA
55,NA,NA,Review,2017,Information Literacy Instruction in Canadian Undergraduate Science Education 2000-2015: A Literature Review,Canadian Journal of Information and Library Science-revue Canadienne Des Sciences De L Information Et De Bibliotheconomie,41,4,263-284,NA,NA,NA,NA,NA
56,10.5860/crl.76.7.934,NA,Article,2015,Integrating Library Instruction into the Course Management System for a First-Year Engineering Class: An Evidence-Based Study Measuring the Effectiveness of Blended Learning on Students' Information Literacy Levels,College & Research Libraries,76,7,934-958,NA,NA,NA,NA,NA
57,10.5062/F4KK9928,NA,Article,2017,Standards Collection Development and Management in an Academic Library: A Case Study at The University of Western Ontario Libraries,Issues in Science and Technology Librarianship,NA,NA,NA,NA,NA,NA,NA,NA
58,10.1108/DLP-06-2020-0054,NA,Article,2020,A bibliography of Canadian Inuit periodicals: a case study in Omeka. net migration,Digital Library Perspectives,38,2,135-145,NA,NA,NA,NA,NA
59,NA,978-2-7605-3151-2,Book,2011,Bibliography of Canadian Inuit Periodicals,PUQ,NA,NA,NA,NA,NA,NA,NA,NA
60,10.1515/9783598441264,NA,Article,2008,"CANADIAN INUIT NEWSPAPERS AND PERIODICALS: PAST, PRESENT & FUTURE",IFLA publications,135,NA,171-184,NA,NA,NA,NA,NA
61,NA,NA,Article,2015,Curating exhibitions in academic libraries: Practical steps,SLA: Special Libraries Association,5,2,44583,NA,NA,NA,NA,NA
62,10.1080/10588167.2018.1453177,NA,Article,2018,Preserving and sharing the popular music of the past: A case study in conservation of a nineteenth-century sheet music collection,Routledge,21,3,122-143,NA,NA,NA,NA,NA
63,10.1108/OCLC-07-2014-0030,NA,Article,2015,The McGill library chapbook project: a case study in TEI encoding,OCLC Systems & Services: International digital library perspectives,31,3,NA,NA,NA,NA,NA,NA
64,NA,9780982170366,Book,2010,The Moravian Beginnings of Canadian Inuit Literature,McGill University Library,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,Book,2008,The Moravian Beginnings of Canadian Inuit Literature. Les origines moraves de la littérature inuite au Canada. Morâviamut Pigianningit Canadamiut Inungit Allaliginniginni,McGill University Library et Imaginaire Nord,NA,NA,NA,NA,NA,NA,NA,NA
66,10.1108/OCLC-07-2014-0030,NA,Article,2018,Touch tables for special collections libraries: curators creating user experiences,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,2019,"A Desperate Measure for Desperate Times: Wooden Shipbuilding in Fort William, 1917-1918",Thunder Bay Historical Museum Society Papers & Records,47,NA,36-62,NA,NA,NA,NA,NA
68,10.25071/2561-5467.232,NA,Article,2016,"Admiralty Orders for Canadian Shipyards:  Trawlers, Drifters, and the Urgency of Coastal Defence during the Great War",The Northern Mariner/Le marin du nord,26,3,275-298,NA,NA,NA,NA,NA
69,NA,NA,Article,1993,Finding Aids and Photographs: A Case Study in the Use of Analog Optical Disc Technology to Improve Access to Historical Images,Archivaria,36,NA,74-86,NA,NA,NA,NA,NA
70,NA,NA,NA,2011,From Feast to Famine: Shipbuilding and the 1912 Waterfront Development Plan,Reshaping Toronto’s Waterfront,NA,NA,97-122,NA,NA,NA,NA,NA
71,10.3138/jsp.37.1.19,NA,Article,2005,Halted by the archive: the impact of excessive archival restrictions on scholars,Journal of Scholarly Publishing,37,1,19-32,NA,NA,NA,NA,NA
72,NA,NA,NA,2011,"Planning for Change: Harbour Commissions, Civil Engineers, and Large-Scale Manipulation of Nature",Reshaping Toronto’s Waterfront,NA,NA,NA,NA,NA,NA,NA,NA
